{12038,16107,16135,16817,16854}	Aberdeen
{3588,3589}	Belo Horizonte
{16032,16746}	Belton
{15628,15644}	Bereket
{15860,16546}	Berkeley
{3645,3653,7775}	Berlin
{16358,17104}	Bethlehem
{12299,12374}	Bharuch
{5639,5792}	Bhind
{12298,12367}	Bhiwandi
{16456,17197}	Biddeford
{8279,8284}	Bihać
{8283,8288}	Bijeljina
{5964,5965}	Bijelo Polje
{5211,5268}	Bilbao
{16130,16849}	Billings
{16164,16895}	Biloxi
{8257,8272}	Biləsuvar
{12149,12192}	Bima
{3683,3690,16172,16903}	Birmingham
{16136,16855}	Bismarck
{6729,6730,6776}	Bistrița
{5521,5577}	Bitung
{7692,16252}	Blacksburg
{7140,16212,16261,16948,16997}	Bloomington
{16035,16748}	Blue Springs
{6287,6300}	Bluefields
{7185,7501}	Bluff City
{6280,6294}	Boaco
{16157,16888}	Boca Raton
{5068,5105}	Bochum
{15618,15672}	Boldumsaz
{5645,5826}	Bolpur
{12163,12223}	Bontang
{16227,16965}	Boone
{16449,17170}	Boston
{6749,6788}	Botoșani
{15987,16699}	Boulder
{15899,16592}	Boulder City
{16339,17078}	Bowie
{16209,16945}	Bowling Green
{16128,16846}	Bozeman
{16147,16869}	Bradenton
{4513,6664}	Bragança
{4651,4751}	Brampton
{8528,16875}	Brandon
{4642,4741}	Brantford
{3949,3950}	Bratislava
{14922,14939}	Brașov
{11741,11757}	Bremen
{16110,16827}	Bremerton
{7583,7783}	Brewer
{8590,8591}	Bria
{16382,16384,16476,17122}	Bridgeport
{3568,4216}	Bridgetown
{11988,12010,16228,16416,16417,16985,16986,17142}	Bristol
{8182,8220}	Broken Hill
{16067,16781}	Brookings
{15927,16632}	Brownsville
{7101,7615}	Bryan
{6740,6781}	Brăila
{4212,4215}	Brčko
{7289,7599}	Buckeye
{3862,3863}	București
{3727,12137}	Budapest
{5601,5716}	Budge Budge
{16320,17055}	Buffalo
{5505,5525}	Bukittinggi
{15832,16520}	Burbank
{4318,4486}	Buritis
{4646,4745,16076,16244,16406,16789,16982,17134}	Burlington
{8170,8203}	Burnie
{6365,6406}	Butuan
{6736,6737,6779}	Buzău
{6744,6785}	Bârlad
{8254,8270}	Bərdə
{6669,6681}	Caaguazú
{7831,7966}	Cabruta
{7830,7965}	Caicara del Orinoco
{7039,7602}	Calabasas
{7840,7975}	Calabozo
{5355,16473,17212}	Calais
{7346,7347,7348,7349}	Calera
{7023,7024}	Calipatria
{7827,7888}	Camaguán
{7193,8483,8538,12043,16444,17171}	Cambridge
{7502,7689,16355,17101}	Camden
{14635,14708}	Candon
{5605,5719}	Canning
{16302,17039}	Canton
{16142,16863}	Cape Coral
{16205,16942}	Cape Girardeau
{6666,6676}	Capiatá
{4077,4079}	Caracas
{16472,17211}	Caribou
{7866,8035}	Caripito
{11992,12024}	Carlisle
{15808,15920,16497,16625}	Carlsbad
{6907,7665}	Carolina
{4983,5030}	Cartago
{16242,16979}	Cary
{7867,8036}	Carúpano
{15997,16710}	Casper
{5952,5959}	Ceadîr-Lunga
{15906,16594}	Cedar City
{7651,16086}	Cedar Falls
{16075,16788}	Cedar Rapids
{6983,6985}	Chaguanas
{7844,7980}	Chaguaramas
{16263,16999}	Champaign
{5629,12505}	Chandigarh
{16192,16251,16924,16990}	Charleston
{16236,16973}	Charlotte
{16333,17070}	Charlottesville
{16202,16936}	Chattanooga
{16329,17065}	Chesapeake
{15995,16707}	Cheyenne
{4058,4069}	Chicago
{15909,16597}	Chico
{16426,17147}	Chicopee
{16248,16987}	Chillicothe
{6279,6292}	Chinandega
{7298,7652}	Chippewa Falls
{17226,17261}	Chirchiq
{3809,3810}	Chișinău
{7072,7073}	Chowchilla
{14556,14558}	Christchurch
{15797,16486}	Chula Vista
{4637,4734}	Churchill
{12141,12168}	Cilegon
{12142,12172}	Cimahi
{16214,16952}	Cincinnati
{4111,4115}	Cipolletti
{17272,17287}	Ciudad Bolívar
{17273,17288}	Ciudad Guayana
{3716,3717}	Ciudad de Guatemala
{3830,3831}	Ciudad de México
{7573,7767}	Claremont
{7516,7695}	Clarksburg
{16123,16839}	Clarkston
{16195,16930}	Clarksville
{7536,7715}	Clawson
{7383,7384,7385,7386,7391,7392,7393,7394,7395,7396,7397,7398,7399,7401,7402,7403,7406,7408,7760}	Clay
{7091,7253}	Clayton
{16150,16872}	Clearwater
{16299,17036}	Cleveland
{7287,7648}	Clinton
{15971,16680}	Clovis
{14920,14937}	Cluj-Napoca
{7040,7041}	Coalinga
{4862,4877}	Cocody
{15984,16695}	Cody
{16125,16841}	Coeur d'Alene
{7523,7700}	Coldwater
{3782,4366}	Colombo
{15973,16683}	Colorado Springs
{16044,16230,16758,16966,17080}	Columbia
{16053,16174,16293,16767,16905,17031}	Columbus
{5055,6352}	Colón
{7149,7150,7151,7152,7153,7154,7155,7156,7157,7158,7159,7160,7161,7162,7163,7164,7165,7166,7167,7168,7169}	Commerce City
{5960,14208}	Comrat
{7512,15869,16238,16451,16555,16974,17190}	Concord
{6701,14913,14930}	Constanța
{7505,7691}	Conway
{7459,7681}	Cookeville
{7659,16100}	Cordova
{3730,12229}	Cork
{8498,8570}	Corner Brook
{15805,16492}	Costa Mesa
{5073,5130}	Cottbus - Chóśebuz
{16058,16771}	Council Bluffs
{14907,14925}	Craiova
{5183,5261}	Cuenca
{7559,7737}	Culpeper
{17276,17291}	Cumaná
{15850,16535}	Cupertino
{5208,5243}	Cáceres
{5056,6098}	Cárdenas
{3550,6080,11930}	Córdoba
{6695,14910,14928}	Călărași
{8249,8265}	Cəlilabad
{3954,3955}	Dakar
{16201,16937}	Dalton
{15842,16528}	Daly City
{16383,16385,17123}	Danbury
{7189,7514,7694}	Danville
{15623,15679}	Darganata
{6370,6418}	Dasmariñas
{8479,8534}	Dauphin
{16080,16790}	Davenport
{16291,17029}	Dayton
{16181,16917}	Daytona Beach
{16313,17049}	Dearborn
{7698,16197,16259,16931}	Decatur
{16156,16887}	Deerfield Beach
{5638,5790}	Dehri
{6725,6726}	Dej
{15930,16637}	Del Rio
{7705,16294}	Delaware
{16180,16916}	Deltona
{17222,17256}	Denov
{7279,15940,16650}	Denton
{5507,5528}	Depok
{12018,16474,16475}	Derby
{16070,16783}	Des Moines
{16314,17050}	Detroit
{6712,14917,14934}	Deva
{8176,8212}	Devonport
{5600,5712}	Diamond Harbour
{16132,16851}	Dickinson
{16194,16929}	Dickson
{4675,4788}	Dieppe
{6836,6844}	Diourbel
{8282,8287}	Doboj
{16008,16722}	Dodge City
{4016,4018}	Dodoma
{6950,15638}	Dostluk
{16170,16901}	Dothan
{12293,12294}	Douglas
{16453,17085,17194}	Dover
{15828,16516}	Downey
{5127,7252,11742}	Dresden
{14906,14924}	Drobeta-Turnu Severin
{8480,8533}	Dryden
{8184,8221}	Dubbo
{3734,3736}	Dublin
{5455,12126}	Dubrovnik
{16087,16795}	Dubuque
{16140,16859}	Duluth
{14631,14640}	Dumaguete
{11993,12026}	Dunfermline
{7521,7722}	Dunkirk
{7625,14399,14430,15965,15966}	Durango
{12031,16246,16983}	Durham
{7445,7679}	Dyersburg
{15619,15664}	Dänew
{15929,16636}	Eagle Pass
{7525,7703}	East Lansing
{16433,17158}	Easthampton
{16360,17106}	Easton
{7585,7784}	Eastport
{15926,16633}	Edinburg
{5951,5957}	Edineț
{7254,16003,16718}	Edmond
{8474,8517}	Edmonton
{7471,7683}	Edwardsville
{15798,16488}	El Cajon
{7833,8039}	El Callao
{15813,16503}	El Centro
{7835,7971}	El Manteco
{15919,16622}	El Paso
{7847,7981}	El Socorro
{7841,7977}	El Sombrero
{7854,8019}	El Tigre
{16268,17004}	Elgin
{16365,17111}	Elizabeth
{7556,7734}	Elizabeth City
{16211,16947}	Elizabethtown
{16274,17010}	Elkhart
{7697,16257}	Elkins
{7609,15913}	Elko
{4664,4764}	Elliot Lake
{7582,7781}	Ellsworth
{7825,7885}	Elorza
{5385,11994,15907,16595}	Ely
{5912,5921}	Embu
{16014,16728}	Emporia
{16005,16719}	Enid
{16307,17046}	Erie
{15810,16499}	Escondido
{15633,15642}	Esenguly
{5067,5097}	Essen
{7772,16460}	Essex Junction
{15617,15643}	Etrek
{4320,4570}	Eunápolis
{15816,16506}	Eureka
{15979,16690}	Evanston
{16208,16944}	Evansville
{16121,16837}	Everett
{7340,7667}	Everglades City
{16098,16807}	Fairbanks
{16337,17073}	Fairfax
{7477,7569,15872,16557}	Fairfield
{6942,6949}	Farap
{17229,17264}	Farg'ona
{16137,16856}	Fargo
{15964,16675}	Farmington
{16022,16233,16733,16969}	Fayetteville
{7538,7716}	Ferndale
{16296,17033}	Findlay
{16270,17006}	Fishers
{16439,17165}	Fitchburg
{15962,16673}	Flagstaff
{16232,16927,16968}	Florence
{7806,11727}	Florida
{6739,6780}	Focșani
{5282,5283}	Fogera
{15891,16579}	Fontana
{4485,8165}	Formosa
{7026,7027}	Fort Bragg
{15991,16704}	Fort Collins
{7649,16081}	Fort Dodge
{16153,16885}	Fort Lauderdale
{8482,8536}	Fort McMurray
{16143,16864}	Fort Myers
{16019,16732}	Fort Smith
{4059,4071}	Fort Wayne
{15939,16648}	Fort Worth
{16441,17168}	Framingham
{16213,16950}	Frankfort
{16203,16452,16939,17191}	Franklin
{7200,16343,17088}	Frederick
{16334,17071}	Fredericksburg
{7186,8442}	Freeport
{15856,16056,16544,16770}	Fremont
{15877,15881,16564}	Fresno
{15886,16573}	Fullerton
{7370,7375,7378}	Fultondale
{3806,14157}	Fès ⴼⴰⵙ فاس
{7528,7706}	Gahanna
{16176,16912}	Gainesville
{6741,6782}	Galați
{7644,16077}	Galesburg
{15963,16674}	Gallup
{5615,5725}	Gandhinagar
{6936,6947}	Garabekewül
{15636,15646}	Garabogaz
{16009,16723}	Garden City
{15882,16570}	Garden Grove
{7363,7372,7373,7374,7376,7377,7387}	Gardendale
{7578,7777}	Gardiner
{16438,17164}	Gardner
{15944,16658}	Garland
{16269,17005}	Gary
{16234,16970}	Gastonia
{4668,4770}	Gatineau
{6205,12545}	Gaya
{6954,15631}	Gazojak
{14632,14651}	General Santos
{6366,6419}	General Trias
{3770,14445}	George Town
{15998,16711}	Gillette
{15847,16534}	Gilroy
{12310,12547}	Giridih
{6687,6688,6760}	Giurgiu
{8235,16038,16751}	Gladstone
{15833,16521,16615}	Glendale
{12011,17188}	Gloucester
{7547,7725}	Goldsboro
{7442,7487,7678}	Goose Creek
{12164,12225}	Gorontalo
{6290,11931}	Granada
{16138,16857}	Grand Forks
{16052,16766}	Grand Island
{15967,16676}	Grand Junction
{15941,16651}	Grand Prairie
{16289,17027}	Grand Rapids
{7357,7358,7359,7360,7361,7364,7365}	Graysville
{16129,16848}	Great Falls
{15992,16705}	Greeley
{16284,17023}	Green Bay
{16435,17161}	Greenfield
{16245,16981}	Greensboro
{7550,7728,16220,16957}	Greenville
{7495,7684}	Greenwood
{7498,7687}	Greer
{8174,8210}	Griffith
{5257,14402}	Guadalajara
{5029,6108,6127,6360,6871}	Guadalupe
{7861,8030}	Guanta
{7837,7970}	Guasipati
{6939,6953}	Gubadag
{4644,4743}	Guelph
{16163,16894}	Gulfport
{15610,15652}	Gyzylarbat
{6809,6825}	Gävle
{15635,15653}	Gökdepe
{15627,15673}	Görogly
{7869,8038}	Güiria
{16344,17087}	Hagerstown
{15624,15669}	Halaç
{7579,7778}	Hallowell
{4645,4744,8395,14567}	Hamilton
{16332,17069}	Hampton
{7042,7044,7045,7046,15838,16524}	Hanford
{16072,16786}	Hannibal
{3644,3650}	Hannover
{5627,5761}	Hanumangarh
{15928,16634}	Harlingen
{16348,17093}	Harrisburg
{16256,16994}	Harrisonburg
{16422,16423,17145}	Hartford
{14562,16050,16764}	Hastings
{12307,12475}	Hathras
{16167,16898}	Hattiesburg
{16131,16850}	Havre
{15858,16545}	Hayward
{16353,17097}	Hazleton
{7058,7059,7060,7061,7062}	Healdsburg
{7344,7345,16847}	Helena
{7551,7730,15902,16591}	Henderson
{16235,16971}	Hickory
{16243,16980}	High Point
{5624,5753}	Hindaun
{8175,8211}	Hobart
{15922,16629}	Hobbs
{15626,15670}	Hojambaz
{16432,17159}	Holyoke
{16094,16800}	Homer
{16152,16877}	Homestead
{15795,16478}	Honolulu
{7351,7352,7362,7366,7367}	Hoover
{7558,7735}	Hopewell
{16207,16943}	Hopkinsville
{6507,6513}	Horta
{16017,16731}	Hot Springs
{4053,4063}	Houston
{6711,6769}	Hunedoara
{16250,16989}	Huntington
{15802,16491}	Huntington Beach
{16196,16932}	Huntsville
{7043,7276,16065,16779}	Huron
{16012,16726}	Hutchinson
{6755,6793}	Iași
{4985,4986}	Ibagué
{6353,14606}	Ica
{15982,16693}	Idaho Falls
{16037,16752}	Independence
{7353,7354,7355}	Indian Springs Village
{15814,15815,16504}	Indio
{15826,16514}	Inglewood
{16141,16860}	International Falls
{16074,16787}	Iowa City
{15806,16493}	Irvine
{15942,16652}	Irving
{14630,14636}	Isabela
{7142,7632,15958,16193,16670,16928}	Jackson
{16178,16325,16913,17059}	Jacksonville
{4314,4315}	Jaguariaíva
{5516,5553}	Jambi
{16309,17047}	Jamestown
{5580,5668}	Jamnagar
{5604,5717}	Jaynagar Majilpur
{5227,6361}	Jaén
{16043,16757}	Jefferson City
{5641,5811}	Jehanabad
{16367,17114}	Jersey City
{5584,5674}	Jetpur
{12306,12469}	Jhansi
{6283,6297}	Jinotega
{17224,17257}	Jizzax
{12302,12455}	Jodhpur
{16217,16954}	Johns Creek
{16229,16963}	Johnson City
{16266,17002}	Joliet
{16026,16739}	Jonesboro
{7224,7635}	Joplin
{7865,8033}	Juan Griego
{6943,6944}	Kaka
{5599,5711}	Kakdwip
{16106,16816}	Kaktovik
{16285,17024}	Kalamazoo
{4792,4813}	Kalemie
{16127,16844}	Kalispell
{12296,12334}	Kannur
{16034,16036,16749,16750}	Kansas City
{5456,5463}	Karlovac
{4660,4761}	Kawartha Lakes
{16048,16762}	Kearney
{16095,16802}	Kenai
{7341,16878}	Kendall
{16115,16831}	Kennewick
{8478,8532}	Kenora
{16276,17015}	Kenosha
{5909,5917}	Kericho
{15640,15667}	Kerki
{16108,16818}	Ketchikan
{5069,5122}	Kiel
{15936,16646}	Killeen
{4710,8047,8051}	Kimberley
{15901,16589}	Kingman
{16226,16964}	Kingsport
{3753,8547}	Kingston
{7548,7726}	Kinston
{5907,5915}	Kisii
{16179,16914}	Kissimmee
{5908,5916}	Kisumu
{8484,8539}	Kitchener
{16225,16960}	Knoxville
{5519,5575}	Kotamobagu
{6850,15461}	KuanyLualThuan/Nasir
{3643,3649}	Köln
{15614,15677}	Köneürgenç
{15632,15668}	Köýtendag
{17277,17292}	La Asunción
{16089,16798}	La Crosse
{7832,7968}	La Paragua
{5441,7797,8396,14423}	La Paz
{5876,12768}	La Spezia
{15949,16271,16664,17007}	Lafayette
{6267,14512}	Lafia
{6509,6515,6528}	Lagoa
{6526,14492}	Lagos
{15800,16490}	Laguna Beach
{7619,15948}	Lake Charles
{15903,16588}	Lake Havasu City
{16151,16876}	Lakeland
{15986,16697}	Lakewood
{7566,7750}	Lambertville
{12028,15835,16347,16523,17092}	Lancaster
{16287,17026}	Lansing
{15993,16706}	Laramie
{15925,16631}	Laredo
{16148,16871}	Largo
{15918,16623}	Las Cruces
{7842,7976}	Las Mercedes del Llano
{7930,15900,16590}	Las Vegas
{8177,8213}	Launceston
{16340,17079}	Laurel
{4672,4773}	Laval
{16028,16741,17177}	Lawrence
{16001,16715}	Lawton
{7133,7629}	Layton
{4865,4871}	Le Plateau
{16349,16461,17094,17200}	Lebanon
{7860,8028}	Lechería
{16033,16747}	Lee's Summit
{3693,7368,7369}	Leeds
{7740,16336}	Leesburg
{15974,16684}	Lehi
{16029,16744}	Lenexa
{16240,16977}	Lenoir
{16437,17163}	Leominster
{16122,16466,16838,17205}	Lewiston
{15943,16654}	Lewisville
{16047,16761,16951}	Lexington
{5210,5265,6291,14404}	León
{12159,12212}	Lhokseumawe
{4138,7788}	Libertad
{7220,16039,16753}	Liberty
{3731,12228,12230}	Limerick
{4897,5228}	Linares
{7071,7409,7410,7411,7412,7413,7414,7415,7416,7417,7418,7419,7420,7421,7422,7423,7426,7428,11991,12023,16055,16769}	Lincoln
{3860,14898}	Lisboa
{16025,16736}	Little Rock
{7069,7070,12819}	Lodi
{7135,7630}	Logan
{4204,8189}	Logan City
{7076,7077,7078}	Loma Linda
{7035,7036}	Lompoc
{3967,3968}	Lomé
{3682,3689,8537}	London
{16363,17109}	Long Branch
{4774,8493}	Longueuil
{7623,15953}	Longview
{15970,16679}	Los Alamos
{4050,16517}	Los Angeles
{7828,7964}	Los Pijiguaos
{16448,17176}	Lowell
{3547,3548}	Luanda
{15923,16630}	Lubbock
{7620,15951}	Lufkin
{6705,6766}	Lugoj
{16254,16992}	Lynchburg
{8250,8266}	Lənkəran
{5911,5919}	Machakos
{16184,16921}	Macon
{15878,16565}	Madera
{7250,7450,7680,17013}	Madison
{6935,6951}	Magdanly
{15615,15650}	Magtymguly
{5644,5814,5815}	Maheshtala
{12154,12199}	Makassar
{5913,5924}	Malindi
{15412,15414}	Malmö
{5562,12203}	Mamuju
{12165,12226}	Manado
{7437,7560,7738}	Manassas
{3692,16450,17189}	Manchester
{14911,14912,14929}	Mangalia
{16015,16729}	Manhattan
{16082,16791}	Mankato
{16295,17032}	Mansfield
{7051,16550}	Manteca
{5040,6022}	Manzanillo
{4863,4873}	Marcory
{16200,16935}	Marietta
{7285,7642}	Marion
{4655,4754}	Markham
{16440,17167}	Marlborough
{16470,17209}	Marquette
{7283,7640}	Marshalltown
{7562,7747}	Martinsburg
{7290,7650}	Mason City
{6282,6296}	Matagalpa
{6175,6176}	Matola
{17275,17290}	Maturín
{7496,7685}	Mauldin
{8572,8583}	Mbandaka
{7613,15924}	McAllen
{16308,17045}	Meadville
{11709,11717}	Medellín
{6698,6699,6700,6764}	Medgidia
{6715,6771}	Mediaș
{4195,8173,16161,16892}	Melbourne
{16191,16738}	Memphis
{15880,16567}	Merced
{16414,16415,17140}	Meriden
{15915,16168,16608,16899}	Meridian
{13841,13843}	Meru
{7079,7607,16657}	Mesquite
{5515,5550}	Metro
{4055,4067}	Miami
{16155,16883}	Miami Beach
{16420,16421,17144}	Middletown
{6734,6778}	Miercurea Ciuc
{15855,16543}	Milpitas
{11990,12019}	Milton Keynes
{8253,8269}	Mingəçevir
{16083,16792}	Minneapolis
{16134,16853}	Minot
{4670,4771}	Mirabel
{15807,16496}	Mission Viejo
{4747,8487}	Mississauga
{16126,16843}	Missoula
{16064,16778}	Mitchell
{7124,7626}	Moab
{16165,16896}	Mobile
{15864,16549}	Modesto
{7647,16079}	Moline
{3807,3808}	Monaco
{8497,8565}	Moncton
{15959,16231,16671,16967}	Monroe
{5905,12836}	Montego Bay
{15843,15844,16531}	Monterey
{16171,16902}	Montgomery
{16459,17199}	Montpelier
{8494,8554}	Montréal
{4633,4731}	Morden
{15893,16582}	Moreno Valley
{7533,7710}	Morgantown
{16223,16961}	Morristown
{4141,5045,17282}	Morón
{4211,4213}	Mostar
{5647,5839}	Motihari
{15851,16536}	Mountain View
{16272,17008}	Muncie
{16204,16938}	Murfreesboro
{15612,15660}	Murgap
{7286,7643}	Muscatine
{7634,16018}	Muskogee
{14264,14266}	Myit Thar မြစ်သား
{16188,16925}	Myrtle Beach
{5221,7894,11926,14439}	Mérida
{7116,7621}	Nacogdoches
{6408,14674}	Naga
{3756,3757}	Nairobi
{5910,5918}	Nakuru
{15914,16607}	Nampa
{15871,16556}	Napa
{16267,17003}	Naperville
{7322,16447,17175}	Nashua
{3555,3558}	Naxçıvan
{8258,8274}	Neftçala
{4709,14559}	Nelson
{7657,16099}	Nenana
{7546,7724}	New Bern
{15932,16639}	New Braunfels
{16418,16419,17143}	New Britain
{16364,17110}	New Brunswick
{7522,7699}	New Buffalo
{16407,16408,17136}	New Haven
{16411,16412,17138}	New London
{16162,16665}	New Orleans
{7529,7707,16366,17112}	Newark
{8064,8226}	Newcastle
{4653,4753}	Newmarket
{7576,7774,11987,12005,16430,17151}	Newport
{11986,11997}	Newry
{16442,17169}	Newton
{8485,8541,17057}	Niagara Falls
{14218,14220}	Nikšić
{7711,16304}	Niles
{16090,16799}	Nome
{16054,16331,16768,17066}	Norfolk
{16002,16716}	Norman
{4665,4766}	North Bay
{7441,7677}	North Charleston
{7606,15904}	North Las Vegas
{16049,16763}	North Platte
{16144,16866}	North Port
{4630,4696}	North Vancouver
{16434,17160}	Northampton
{15884,16380,16381,16569,17121}	Norwalk
{12044,16427,16428,17149}	Norwich
{7713,16312}	Novi
{17220,17239}	Nókis
{3642,3648}	Nürnberg
{7205,7454}	Oak Hill
{16222,16959}	Oak Ridge
{7074,7075}	Oakdale
{4052,4062}	Oakland
{4648,4746}	Oakville
{16175,16909}	Ocala
{15809,16498}	Oceanside
{6286,6299}	Ocotal
{15978,16689}	Ogden
{16004,16717}	Oklahoma City
{16030,16743}	Olathe
{7584,7782}	Old Town
{17225,17260}	Olmaliq
{14633,14677}	Olongapo
{16109,16825}	Olympia
{16057,16772}	Omaha
{6743,6783}	Onești
{15890,16578}	Ontario
{6706,6707,6767}	Oradea
{8183,8223,15887,16572}	Orange
{7676,16187}	Orangeburg
{14210,14216}	Orhei
{4057,4068}	Orlando
{7843,7978}	Ortíz
{4659,4759}	Oshawa
{3721,3725}	Osijek
{3842,3843}	Oslo
{7284,7641}	Ottumwa
{16031,16745}	Overland Park
{4650,4750}	Owen Sound
{16210,16946}	Owensboro
{3688,7138,7424,7425,7427}	Oxford
{15821,16508}	Oxnard
{7636,16045}	O’Fallon
{12140,12166}	Padang
{5504,5524}	Padang Panjang
{12158,12209}	Padang Sidempuan
{16206,16941}	Paducah
{12301,12454}	Palanpur
{12146,12185}	Palembang
{5743,12303}	Pali
{16159,16891}	Palm Bay
{16182,16918}	Palm Coast
{15897,16587}	Palm Springs
{5271,6191}	Palma
{15895,16584}	Palmdale
{15849,16539}	Palo Alto
{12155,12201}	Palopo
{7864,8034}	Pampatar
{5430,7183}	Paradise
{7845,7982}	Pariaguán
{5501,5523}	Pariaman
{3678,7139}	Paris
{16255,16993}	Parkersburg
{15834,15945,16522,16661}	Pasadena
{16114,16832}	Pasco
{6373,6429}	Pasig
{4264,4271}	Patacamaya
{16373,17118}	Paterson
{12309,12503}	Patiala
{5506,5527}	Payakumbuh
{6753,6754,6792}	Pașcani
{16166,16897}	Pensacola
{15960,16260,16616,16996}	Peoria
{8194,12036}	Perth
{6143,6160}	Petaling Jaya
{7052,7053,15865,16552}	Petaluma
{8490,8546,12021}	Peterborough
{6709,6710,6768}	Petroșani
{16356,17100}	Philadelphia
{6746,6747,6786}	Piatra Neamț
{4654,4756}	Pickering
{6021,6134}	Piedras Negras
{16059,16773}	Pierre
{16024,16735}	Pine Bluff
{4972,4976}	Pitalito
{6686,14908,14926}	Pitești
{16300,17038}	Pittsburgh
{7762,16400}	Pittsfield
{6692,6762}	Ploiești
{15981,16692}	Pocatello
{3813,3816}	Podgorica
{16102,16810}	Point Hope
{15889,16577}	Pomona
{16154,16886}	Pompano Beach
{7543,7719}	Pontiac
{12147,12187}	Pontianak
{7863,8032}	Porlamar
{8179,8219}	Port Augusta
{7721,16318}	Port Huron
{16158,16890}	Port Saint Lucie
{4861,4869}	Port-Bouët
{15839,16526}	Porterville
{4065,16464,17203}	Portland
{12012,17064,17193}	Portsmouth
{5072,5129}	Potsdam
{15801,16489}	Poway
{16471,17210}	Presque Isle
{8280,8285}	Prijedor
{4727,8476}	Prince Albert
{6140,7801}	Progreso
{16429,17150}	Providence
{15977,16688}	Provo
{15972,16682}	Pueblo
{17271,17278}	Puerto Ayacucho
{7862,8029}	Puerto La Cruz
{7836,7972}	Puerto Ordaz
{7853,8018}	Puerto Píritu
{5602,5714}	Pujali
{7857,8023}	Punta de Mata
{12300,12443}	Puri
{7822,17234}	Qarshi
{17228,17263}	Qo‘qon
{16073,16785,17180}	Quincy
{4661,4760}	Quinte West
{3803,3805}	Rabat ⵔⴱⴰⵟ الرباط
{16278,17016}	Racine
{5595,5708}	Raigarh
{5606,5715}	Rajpur Sonarpur
{16326,17060}	Raleigh
{15892,16580}	Rancho Cucamonga
{16357,17102}	Reading
{15908,16596}	Redding
{15854,16540}	Redwood City
{8475,8523}	Regina
{15910,16598}	Reno
{7291,17181}	Revere
{7144,7633}	Rexburg
{6702,6765}	Reșița
{6508,6516}	Ribeira Grande
{4269,8402}	Riberalta
{7240,16116,16830}	Richland
{4687,15861,16247,16327,16530,16984,17062}	Richmond
{4656,4755}	Richmond Hill
{5177,5180}	Rio La Esmeralda
{15968,16677}	Rio Rancho
{6278,6289}	Rivas
{15983,16694}	Riverton
{16253,16991}	Roanoke
{7554,7732}	Roanoke Rapids
{16088,16454,16796,17124,17195}	Rochester
{7544,7720}	Rochester Hills
{7503,7690}	Rock Hill
{7645,16078}	Rock Island
{15980,16691}	Rock Springs
{16275,17011}	Rockford
{7580,7779}	Rockland
{7745,16341}	Rockville
{7553,7731}	Rocky Mount
{16042,16756}	Rolla
{6751,6790}	Roman
