id,hex,updated_at,deleted_at,country_code
458,#000000,2024-02-08 05:53:28.805955+00,,cn
459,#000000,2024-02-08 05:53:34.428165+00,,cn
460,#000000,2024-02-08 05:53:39.408997+00,,cn
461,#000000,2024-02-08 05:53:44.414437+00,,cn
462,#000000,2024-02-08 05:53:49.465101+00,,cn
463,#000000,2024-02-08 05:53:54.497266+00,,cn
464,#000000,2024-02-08 05:53:59.466065+00,,co
465,#000000,2024-02-08 05:54:04.488389+00,,co
466,#000000,2024-02-08 05:54:09.518647+00,,cr
467,#000000,2024-02-08 05:54:15.164961+00,,cu
468,#000000,2024-02-08 05:54:20.345312+00,,cv
469,#000000,2024-02-08 05:54:25.356077+00,,cy
470,#000000,2024-02-08 05:54:30.380941+00,,cy
471,#000000,2024-02-08 05:54:35.410914+00,,cz
472,#000000,2024-02-08 05:54:41.473632+00,,de
473,#000000,2024-02-08 05:54:46.538384+00,,de
474,#000000,2024-02-08 05:54:51.717257+00,,de
475,#000000,2024-02-08 05:54:56.711449+00,,de
476,#000000,2024-02-08 05:55:01.765389+00,,de
477,#000000,2024-02-08 05:55:06.754062+00,,de
482,#000000,2024-02-08 05:55:33.337896+00,,de
483,#000000,2024-02-08 05:55:41.344679+00,,de
485,#000000,2024-02-08 05:55:51.369006+00,,dj
486,#000000,2024-02-08 05:55:56.390277+00,,dk
487,#000000,2024-02-08 05:56:05.904889+00,,dz
488,#000000,2024-02-08 05:56:14.964891+00,,ec
489,#000000,2024-02-08 05:56:22.46464+00,,ee
491,#000000,2024-02-08 05:56:33.937994+00,,eg
492,#000000,2024-02-08 05:56:40.030555+00,,eg
494,#000000,2024-02-08 05:56:50.082853+00,,er
495,#000000,2024-02-08 05:56:55.175137+00,,es
496,#000000,2024-02-08 05:57:00.190688+00,,es
497,#000000,2024-02-08 05:57:05.176817+00,,es
498,#000000,2024-02-08 05:57:10.228458+00,,es
499,#000000,2024-02-08 05:57:15.901061+00,,es
500,#000000,2024-02-08 05:57:21.934745+00,,es
501,#000000,2024-02-08 05:57:28.074137+00,,et
502,#000000,2024-02-08 05:57:34.022209+00,,et
503,#000000,2024-02-08 05:57:39.138046+00,,et
504,#000000,2024-02-08 05:57:45.099692+00,,et
505,#000000,2024-02-08 05:57:50.116953+00,,et
506,#000000,2024-02-08 05:57:55.157875+00,,fi
507,#000000,2024-02-08 05:58:00.150763+00,,fj
508,#000000,2024-02-08 05:58:09.060121+00,,fr
509,#000000,2024-02-08 05:58:14.153683+00,,fr
510,#000000,2024-02-08 05:58:19.277676+00,,ga
511,#000000,2024-02-08 05:58:25.640454+00,,gb
512,#000000,2024-02-08 05:58:30.610841+00,,gb
513,#000000,2024-02-08 05:58:35.629758+00,,gb
514,#000000,2024-02-08 05:58:40.626431+00,,gb
515,#000000,2024-02-08 05:58:45.685537+00,,gb
516,#000000,2024-02-08 05:58:50.845496+00,,gb
518,#000000,2024-02-08 05:59:01.030848+00,,gb
519,#000000,2024-02-08 05:59:06.100495+00,,gb
522,#000000,2024-02-08 05:59:22.82851+00,,gb
523,#000000,2024-02-08 05:59:27.825402+00,,gb
524,#000000,2024-02-08 05:59:33.55635+00,,gb
525,#000000,2024-02-08 05:59:40.117974+00,,ge
526,#000000,2024-02-08 05:59:45.335535+00,,ge
527,#000000,2024-02-08 05:59:50.368277+00,,ge
528,#000000,2024-02-08 05:59:55.380683+00,,ge
529,#000000,2024-02-08 06:00:00.550173+00,,ge
530,#000000,2024-02-08 06:00:05.538681+00,,ge
532,#000000,2024-02-08 06:00:15.644598+00,,ge
533,#000000,2024-02-08 06:00:20.875936+00,,ge
534,#000000,2024-02-08 06:00:25.87158+00,,ge
535,#000000,2024-02-08 06:00:32.305108+00,,ge
541,#000000,2024-02-08 06:01:06.234002+00,,gh
542,#000000,2024-02-08 06:01:11.286858+00,,gl
543,#000000,2024-02-08 06:01:16.314317+00,,gn
544,#000000,2024-02-08 06:01:23.551378+00,,gq
545,#000000,2024-02-08 06:01:28.689038+00,,gr
546,#000000,2024-02-08 06:01:33.669128+00,,gr
547,#000000,2024-02-08 06:01:38.6783+00,,gt
549,#000000,2024-02-08 06:01:51.457198+00,,gw
550,#000000,2024-02-08 06:01:56.75777+00,,gy
551,#000000,2024-02-08 06:02:02.641947+00,,hr
552,#000000,2024-02-08 06:02:07.72012+00,,hr
554,#000000,2024-02-08 06:02:17.854233+00,,hr
555,#000000,2024-02-08 06:02:22.941182+00,,hr
557,#000000,2024-02-08 06:02:32.962741+00,,ht
558,#000000,2024-02-08 06:02:37.995783+00,,hu
559,#000000,2024-02-08 06:02:43.066597+00,,id
560,#000000,2024-02-08 06:02:48.174812+00,,id
561,#000000,2024-02-08 06:02:53.831717+00,,ie
562,#000000,2024-02-08 06:02:58.914558+00,,ie
563,#000000,2024-02-08 06:03:03.935887+00,,ie
564,#000000,2024-02-08 06:03:08.988964+00,,ie
565,#000000,2024-02-08 06:03:14.095593+00,,ie
568,#000000,2024-02-08 06:03:29.334599+00,,il
569,#000000,2024-02-08 06:03:34.378475+00,,il
571,#000000,2024-02-08 06:03:44.46445+00,,in
572,#000000,2024-02-08 06:03:49.606849+00,,iq
573,#000000,2024-02-08 06:03:54.617458+00,,iq
575,#000000,2024-02-08 06:04:04.823246+00,,ir
576,#000000,2024-02-08 06:04:09.854211+00,,ir
577,#000000,2024-02-08 06:04:15.232441+00,,ir
578,#000000,2024-02-08 06:04:20.541189+00,,ir
579,#000000,2024-02-08 06:04:25.534536+00,,ir
580,#000000,2024-02-08 06:04:30.541563+00,,ir
581,#000000,2024-02-08 06:04:35.738359+00,,ir
582,#000000,2024-02-08 06:04:40.766301+00,,is
583,#000000,2024-02-08 06:04:45.840896+00,,it
584,#000000,2024-02-08 06:04:50.826653+00,,jm
585,#000000,2024-02-08 06:04:55.829006+00,,jo
586,#000000,2024-02-08 06:05:00.981803+00,,jp
587,#000000,2024-02-08 06:05:06.6233+00,,ke
589,#000000,2024-02-08 06:05:16.64853+00,,kg
590,#000000,2024-02-08 06:05:21.781162+00,,kg
591,#000000,2024-02-08 06:05:26.782915+00,,kg
592,#000000,2024-02-08 06:05:31.809762+00,,kh
593,#000000,2024-02-08 06:05:36.783297+00,,km
594,#000000,2024-02-08 06:05:41.784646+00,,kp
595,#000000,2024-02-08 06:05:48.209769+00,,kr
596,#000000,2024-02-08 06:05:56.288755+00,,kr
597,#000000,2024-02-08 06:06:02.137078+00,,kr
600,#000000,2024-02-08 06:06:20.69984+00,,kw
601,#000000,2024-02-08 06:06:25.693651+00,,ky
602,#000000,2024-02-08 06:06:30.68059+00,,kz
603,#000000,2024-02-08 06:06:35.717451+00,,kz
604,#000000,2024-02-08 06:06:41.344672+00,,kz
606,#000000,2024-02-08 06:06:51.913023+00,,kz
607,#000000,2024-02-08 06:06:56.901559+00,,kz
609,#000000,2024-02-08 06:07:07.465397+00,,la
610,#000000,2024-02-08 06:07:12.464376+00,,lb
611,#000000,2024-02-08 06:07:17.471381+00,,lb
613,#000000,2024-02-08 06:07:28.278678+00,,lk
614,#000000,2024-02-08 06:07:33.380483+00,,lr
615,#000000,2024-02-08 06:07:40.123313+00,,ls
616,#000000,2024-02-08 06:07:45.119985+00,,lt
617,#000000,2024-02-08 06:07:50.087773+00,,lt
618,#000000,2024-02-08 06:07:56.752783+00,,lt
619,#000000,2024-02-08 06:08:01.718329+00,,lt
620,#000000,2024-02-08 06:08:06.765839+00,,lu
621,#000000,2024-02-08 06:08:11.799184+00,,lv
622,#000000,2024-02-08 06:08:16.829572+00,,ly
624,#000000,2024-02-08 06:08:27.633117+00,,ly
625,#000000,2024-02-08 06:08:32.684447+00,,ly
626,#000000,2024-02-08 06:08:37.736421+00,,ly
627,#000000,2024-02-08 06:08:42.914654+00,,ly
628,#000000,2024-02-08 06:08:48.537993+00,,ly
629,#000000,2024-02-08 06:08:53.515312+00,,ly
631,#000000,2024-02-08 06:09:03.640231+00,,ly
632,#000000,2024-02-08 06:09:11.492081+00,,ly
633,#000000,2024-02-08 06:09:20.811869+00,,ly
634,#000000,2024-02-08 06:09:26.317122+00,,ma
635,#000000,2024-02-08 06:09:32.997646+00,,ma
637,#000000,2024-02-08 06:09:43.197288+00,,ma
638,#000000,2024-02-08 06:09:48.239686+00,,mc
640,#000000,2024-02-08 06:09:58.934733+00,,md
642,#000000,2024-02-08 06:10:09.324887+00,,md
643,#000000,2024-02-08 06:10:14.598069+00,,me
644,#000000,2024-02-08 06:10:19.708744+00,,me
646,#000000,2024-02-08 06:10:30.304536+00,,me
648,#000000,2024-02-08 06:10:40.514658+00,,mg
649,#000000,2024-02-08 06:10:45.64901+00,,mh
650,#000000,2024-02-08 06:10:50.885211+00,,mk
652,#000000,2024-02-08 06:11:02.241355+00,,ml
653,#000000,2024-02-08 06:11:07.312435+00,,mm
654,#000000,2024-02-08 06:11:12.290862+00,,mn
655,#000000,2024-02-08 06:11:17.370936+00,,mn
656,#000000,2024-02-08 06:11:22.453497+00,,mn
657,#000000,2024-02-08 06:11:28.530993+00,,mr
658,#000000,2024-02-08 06:11:33.539996+00,,mr
659,#000000,2024-02-08 06:11:38.540383+00,,mt
660,#000000,2024-02-08 06:11:43.547764+00,,mu
661,#000000,2024-02-08 06:11:48.590867+00,,mx
663,#000000,2024-02-08 06:11:58.647149+00,,mx
664,#000000,2024-02-08 06:12:03.615409+00,,my
665,#000000,2024-02-08 06:12:08.743504+00,,mz
666,#000000,2024-02-08 06:12:13.846626+00,,mz
667,#000000,2024-02-08 06:12:18.857506+00,,na
668,#000000,2024-02-08 06:12:23.933458+00,,ne
669,#000000,2024-02-08 06:12:28.991131+00,,ng
670,#000000,2024-02-08 06:12:33.997901+00,,ng
671,#000000,2024-02-08 06:12:39.020104+00,,nl
672,#000000,2024-02-08 06:12:44.654846+00,,nl
673,#000000,2024-02-08 06:12:49.710228+00,,no
675,#000000,2024-02-08 06:12:59.811807+00,,np
676,#000000,2024-02-08 06:13:04.79165+00,,nz
677,#000000,2024-02-08 06:13:09.846951+00,,nz
678,#000000,2024-02-08 06:13:14.896748+00,,nz
679,#000000,2024-02-08 06:13:19.889717+00,,om
680,#000000,2024-02-08 06:13:25.714466+00,,pa
681,#000000,2024-02-08 06:13:30.86139+00,,pe
682,#000000,2024-02-08 06:13:36.004053+00,,pg
683,#000000,2024-02-08 06:13:44.328091+00,,ph
684,#000000,2024-02-08 06:13:49.37217+00,,ph
685,#000000,2024-02-08 06:13:54.364262+00,,pk
686,#000000,2024-02-08 06:13:59.453944+00,,pk
687,#000000,2024-02-08 06:14:04.46878+00,,pl
688,#000000,2024-02-08 06:14:10.940426+00,,ps
689,#000000,2024-02-08 06:14:17.689773+00,,ps
691,#000000,2024-02-08 06:14:28.950797+00,,pt
692,#000000,2024-02-08 06:14:33.963793+00,,qa
693,#000000,2024-02-08 06:14:38.994646+00,,ro
695,#000000,2024-02-08 06:14:49.160599+00,,rs
696,#000000,2024-02-08 06:14:54.865122+00,,rs
697,#000000,2024-02-08 06:15:01.752676+00,,rs
699,#000000,2024-02-08 06:15:17.485043+00,,rs
700,#000000,2024-02-08 06:15:22.774853+00,,rs
701,#000000,2024-02-08 06:15:27.814065+00,,ru
702,#000000,2024-02-08 06:15:33.85069+00,,ru
703,#000000,2024-02-08 06:15:38.857931+00,,ru
704,#000000,2024-02-08 06:15:43.933755+00,,ru
705,#000000,2024-02-08 06:15:49.528261+00,,ru
706,#000000,2024-02-08 06:15:54.536395+00,,ru
707,#000000,2024-02-08 06:15:59.569851+00,,ru
708,#000000,2024-02-08 06:16:05.36067+00,,ru
709,#000000,2024-02-08 06:16:10.373033+00,,ru
710,#000000,2024-02-08 06:16:15.554026+00,,ru
711,#000000,2024-02-08 06:16:20.724987+00,,ru
712,#000000,2024-02-08 06:16:25.748299+00,,ru
713,#000000,2024-02-08 06:16:31.121549+00,,ru
714,#000000,2024-02-08 06:16:36.098567+00,,ru
715,#000000,2024-02-08 06:16:41.709694+00,,ru
716,#000000,2024-02-08 06:16:46.714667+00,,ru
717,#000000,2024-02-08 06:16:51.732682+00,,ru
718,#000000,2024-02-08 06:16:58.583684+00,,ru
719,#000000,2024-02-08 06:17:04.609056+00,,ru
720,#000000,2024-02-08 06:17:09.585604+00,,ru
721,#000000,2024-02-08 06:17:14.602026+00,,ru
722,#000000,2024-02-08 06:17:19.621172+00,,ru
723,#000000,2024-02-08 06:17:24.749492+00,,ru
724,#000000,2024-02-08 06:17:29.795007+00,,ru
725,#000000,2024-02-08 06:17:35.834724+00,,ru
726,#000000,2024-02-08 06:17:40.892257+00,,ru
727,#000000,2024-02-08 06:17:45.878097+00,,ru
728,#000000,2024-02-08 06:17:51.030996+00,,ru
729,#000000,2024-02-08 06:17:55.994295+00,,ru
730,#000000,2024-02-08 06:18:01.086528+00,,ru
731,#000000,2024-02-08 06:18:06.108104+00,,ru
732,#000000,2024-02-08 06:18:11.121346+00,,ru
733,#000000,2024-02-08 06:18:16.186274+00,,ru
742,#000000,2024-02-08 06:19:02.924684+00,,ru
746,#000000,2024-02-08 06:19:25.731514+00,,ru
747,#000000,2024-02-08 06:19:30.742724+00,,ru
755,#000000,2024-02-08 06:20:17.140094+00,,ru
756,#000000,2024-02-08 06:20:22.558242+00,,ru
770,#000000,2024-02-08 06:21:37.957835+00,,ru
771,#000000,2024-02-08 06:21:42.909318+00,,sa
772,#000000,2024-02-08 06:21:47.915344+00,,sa
773,#000000,2024-02-08 06:21:52.890383+00,,sb
774,#000000,2024-02-08 06:21:58.481468+00,,sc
775,#000000,2024-02-08 06:22:04.44806+00,,sd
776,#000000,2024-02-08 06:22:09.504229+00,,se
777,#000000,2024-02-08 06:22:14.536145+00,,se
778,#000000,2024-02-08 06:22:19.61023+00,,sg
779,#000000,2024-02-08 06:22:24.623365+00,,si
780,#000000,2024-02-08 06:22:29.68063+00,,sk
782,#000000,2024-02-08 06:22:39.699852+00,,sk
783,#000000,2024-02-08 06:22:44.697146+00,,sk
784,#000000,2024-02-08 06:22:49.978425+00,,sl
785,#000000,2024-02-08 06:22:54.972413+00,,sn
787,#000000,2024-02-08 06:23:05.768892+00,,so
788,#000000,2024-02-08 06:23:10.792411+00,,so
789,#000000,2024-02-08 06:23:16.356671+00,,sr
790,#000000,2024-02-08 06:23:21.466025+00,,ss
791,#000000,2024-02-08 06:23:26.517817+00,,st
792,#000000,2024-02-08 06:23:31.561258+00,,sv
793,#000000,2024-02-08 06:23:39.365456+00,,sy
794,#000000,2024-02-08 06:23:44.342957+00,,sy
795,#000000,2024-02-08 06:23:49.399132+00,,sy
796,#000000,2024-02-08 06:23:54.445306+00,,sz
797,#000000,2024-02-08 06:23:59.469991+00,,td
798,#000000,2024-02-08 06:24:04.744247+00,,tg
800,#000000,2024-02-08 06:24:14.920424+00,,th
801,#000000,2024-02-08 06:24:20.332695+00,,tj
803,#000000,2024-02-08 06:24:33.469755+00,,tm
804,#000000,2024-02-08 06:24:38.578141+00,,tn
806,#000000,2024-02-08 06:24:48.670982+00,,to
807,#000000,2024-02-08 06:24:53.667642+00,,tr
808,#000000,2024-02-08 06:24:58.668416+00,,tr
809,#000000,2024-02-08 06:25:03.643967+00,,tr
810,#000000,2024-02-08 06:25:08.681982+00,,tr
811,#000000,2024-02-08 06:25:13.657649+00,,tr
812,#000000,2024-02-08 06:25:20.946711+00,,tr
813,#000000,2024-02-08 06:25:27.61325+00,,tr
814,#000000,2024-02-08 06:25:32.651957+00,,tr
815,#000000,2024-02-08 06:25:38.822843+00,,tr
816,#000000,2024-02-08 06:25:44.912913+00,,tr
817,#000000,2024-02-08 06:25:50.759713+00,,tr
818,#000000,2024-02-08 06:25:55.838964+00,,tr
819,#000000,2024-02-08 06:26:02.314538+00,,tr
820,#000000,2024-02-08 06:26:07.422132+00,,tr
821,#000000,2024-02-08 06:26:12.655746+00,,tr
822,#000000,2024-02-08 06:26:18.528173+00,,tr
823,#000000,2024-02-08 06:26:25.118066+00,,tr
824,#000000,2024-02-08 06:26:30.082469+00,,tr
825,#000000,2024-02-08 06:26:35.061499+00,,tr
826,#000000,2024-02-08 06:26:40.070912+00,,tr
827,#000000,2024-02-08 06:26:45.096092+00,,tr
828,#000000,2024-02-08 06:26:53.685614+00,,tr
829,#000000,2024-02-08 06:26:59.292105+00,,tr
830,#000000,2024-02-08 06:27:07.329259+00,,tr
831,#000000,2024-02-08 06:27:16.240074+00,,tr
832,#000000,2024-02-08 06:27:21.33317+00,,tr
833,#000000,2024-02-08 06:27:26.397834+00,,tr
834,#000000,2024-02-08 06:27:31.384411+00,,tr
835,#000000,2024-02-08 06:27:36.397891+00,,tr
836,#000000,2024-02-08 06:27:41.380587+00,,tr
837,#000000,2024-02-08 06:27:48.104869+00,,tr
838,#000000,2024-02-08 06:27:53.274698+00,,tr
839,#000000,2024-02-08 06:27:59.537369+00,,tr
840,#000000,2024-02-08 06:28:07.480468+00,,tr
841,#000000,2024-02-08 06:28:12.519692+00,,tr
842,#000000,2024-02-08 06:28:17.587264+00,,tr
843,#000000,2024-02-08 06:28:23.308792+00,,tr
844,#000000,2024-02-08 06:28:29.326464+00,,tr
845,#000000,2024-02-08 06:28:34.299102+00,,tr
846,#000000,2024-02-08 06:28:39.35052+00,,tw
847,#000000,2024-02-08 06:28:44.405876+00,,tz
848,#000000,2024-02-08 06:28:49.430103+00,,tz
850,#000000,2024-02-08 06:28:59.479399+00,,ua
851,#000000,2024-02-08 06:29:04.478071+00,,ua
852,#000000,2024-02-08 06:29:09.52325+00,,ua
853,#000000,2024-02-08 06:29:14.565677+00,,ua
854,#000000,2024-02-08 06:29:19.558749+00,,ua
855,#000000,2024-02-08 06:29:24.646385+00,,ua
856,#000000,2024-02-08 06:29:29.662716+00,,ua
857,#000000,2024-02-08 06:29:34.669833+00,,ua
858,#000000,2024-02-08 06:29:40.834749+00,,ua
859,#000000,2024-02-08 06:29:45.892726+00,,ua
860,#000000,2024-02-08 06:29:50.900726+00,,ua
861,#000000,2024-02-08 06:29:55.907487+00,,ua
862,#000000,2024-02-08 06:30:01.002605+00,,ua
863,#000000,2024-02-08 06:30:06.02539+00,,ua
864,#000000,2024-02-08 06:30:11.031519+00,,ua
880,#000000,2024-02-08 06:31:38.846774+00,,ug
881,#000000,2024-02-08 06:31:43.820803+00,,us
882,#000000,2024-02-08 06:31:48.843975+00,,us
883,#000000,2024-02-08 06:31:53.837706+00,,us
884,#000000,2024-02-08 06:31:58.821739+00,,us
885,#000000,2024-02-08 06:32:05.737286+00,,us
886,#000000,2024-02-08 06:32:11.769359+00,,us
887,#000000,2024-02-08 06:32:16.877066+00,,us
888,#000000,2024-02-08 06:32:22.067868+00,,us
889,#000000,2024-02-08 06:32:27.198119+00,,us
890,#000000,2024-02-08 06:32:32.319582+00,,us
891,#000000,2024-02-08 06:32:37.347473+00,,us
896,#000000,2024-02-08 06:33:05.945846+00,,us
897,#000000,2024-02-08 06:33:11.924751+00,,us
901,#000000,2024-02-08 06:33:34.371098+00,,us
904,#000000,2024-02-08 06:33:49.348029+00,,uy
905,#000000,2024-02-08 06:33:54.450221+00,,uz
906,#000000,2024-02-08 06:34:00.620286+00,,uz
908,#000000,2024-02-08 06:34:10.981023+00,,ve
909,#000000,2024-02-08 06:34:17.796097+00,,ve
911,#000000,2024-02-08 06:34:33.772199+00,,vn
912,#000000,2024-02-08 06:34:39.930462+00,,vn
913,#000000,2024-02-08 06:34:45.150831+00,,vu
914,#000000,2024-02-08 06:34:50.266287+00,,ws
915,#000000,2024-02-08 06:34:56.873426+00,,ye
916,#000000,2024-02-08 06:35:03.669222+00,,za
917,#000000,2024-02-08 06:35:08.73079+00,,za
918,#000000,2024-02-08 06:35:15.454152+00,,za
919,#000000,2024-02-08 06:35:20.66756+00,,zm
920,#000000,2024-02-08 06:35:25.750187+00,,zw
921,#000000,2024-02-08 08:18:36.089349+00,,af
922,#000000,2024-02-08 08:18:36.307559+00,,af
923,#000000,2024-02-08 08:18:36.529092+00,,af
924,#000000,2024-02-08 08:18:36.650238+00,,al
925,#000000,2024-02-08 08:18:36.908265+00,,al
926,#000000,2024-02-08 08:18:37.08512+00,,al
927,#000000,2024-02-08 08:18:37.289036+00,,ao
928,#000000,2024-02-08 08:18:37.452526+00,,ao
929,#000000,2024-02-08 08:18:37.634402+00,,ao
930,#000000,2024-02-08 08:18:37.829584+00,,ao
931,#000000,2024-02-08 08:18:38.01167+00,,ao
932,#000000,2024-02-08 08:18:38.132273+00,,ao
933,#000000,2024-02-08 08:18:38.320066+00,,ao
934,#000000,2024-02-08 08:18:38.473356+00,,ao
935,#000000,2024-02-08 08:18:38.636189+00,,ao
936,#000000,2024-02-08 08:18:38.86083+00,,ao
937,#000000,2024-02-08 08:18:39.154807+00,,ao
938,#000000,2024-02-08 08:18:39.329087+00,,ao
939,#000000,2024-02-08 08:18:39.499663+00,,ao
940,#000000,2024-02-08 08:18:39.691558+00,,ao
941,#000000,2024-02-08 08:18:39.919484+00,,ao
942,#000000,2024-02-08 08:18:40.090139+00,,ar
943,#000000,2024-02-08 08:18:40.260089+00,,ar
944,#000000,2024-02-08 08:18:40.430028+00,,ar
945,#000000,2024-02-08 08:18:40.584429+00,,ar
947,#000000,2024-02-08 08:18:40.863482+00,,ar
948,#000000,2024-02-08 08:18:41.060132+00,,ar
949,#000000,2024-02-08 08:18:41.275014+00,,ar
950,#000000,2024-02-08 08:18:41.507987+00,,ar
951,#000000,2024-02-08 08:18:41.692043+00,,ar
952,#000000,2024-02-08 08:18:41.894167+00,,ar
953,#000000,2024-02-08 08:18:42.048159+00,,ar
954,#000000,2024-02-08 08:18:42.260492+00,,ar
955,#000000,2024-02-08 08:18:42.468471+00,,ar
956,#000000,2024-02-08 08:18:42.6783+00,,ar
957,#000000,2024-02-08 08:18:42.868718+00,,ar
958,#000000,2024-02-08 08:18:42.987737+00,,ar
959,#000000,2024-02-08 08:18:43.202535+00,,ar
960,#000000,2024-02-08 08:18:43.392217+00,,ar
961,#000000,2024-02-08 08:18:43.607198+00,,ar
962,#000000,2024-02-08 08:18:43.782152+00,,ar
963,#000000,2024-02-08 08:18:43.954559+00,,ar
964,#000000,2024-02-08 08:18:44.185053+00,,ar
965,#000000,2024-02-08 08:18:44.39474+00,,ar
966,#000000,2024-02-08 08:18:44.597114+00,,ar
967,#000000,2024-02-08 08:18:44.767036+00,,ar
968,#000000,2024-02-08 08:18:44.976891+00,,ar
969,#000000,2024-02-08 08:18:45.206415+00,,ar
970,#000000,2024-02-08 08:18:45.405473+00,,ar
971,#000000,2024-02-08 08:18:45.577541+00,,ar
972,#000000,2024-02-08 08:18:45.769648+00,,ar
973,#000000,2024-02-08 08:18:45.982166+00,,ar
974,#000000,2024-02-08 08:18:46.163718+00,,ar
975,#000000,2024-02-08 08:18:46.364534+00,,ar
976,#000000,2024-02-08 08:18:46.585525+00,,ar
977,#000000,2024-02-08 08:18:46.857425+00,,ar
978,#000000,2024-02-08 08:18:47.05572+00,,ar
979,#000000,2024-02-08 08:18:47.223684+00,,ar
980,#000000,2024-02-08 08:18:47.379456+00,,ar
981,#000000,2024-02-08 08:18:47.490746+00,,ar
982,#000000,2024-02-08 08:18:47.761368+00,,ar
983,#000000,2024-02-08 08:18:47.958023+00,,ar
984,#000000,2024-02-08 08:18:48.152563+00,,ar
985,#000000,2024-02-08 08:18:48.427488+00,,ar
987,#000000,2024-02-08 08:18:48.781313+00,,ar
988,#000000,2024-02-08 08:18:48.996791+00,,ar
989,#000000,2024-02-08 08:18:49.292464+00,,ar
990,#000000,2024-02-08 08:18:49.498479+00,,ar
991,#000000,2024-02-08 08:18:49.680737+00,,ar
992,#000000,2024-02-08 08:18:49.918776+00,,ar
